Category,Prompt,CriticalInformation,author
Quantum Computing & Simulation,"ROLE: Quantum Error Mitigation Specialist.
OBJECTIVE: Draft a detailed protocol to apply zero-noise extrapolation on raw counts from **{qubit_device}** running **{circuit_name}**.
REQUIREMENTS:
• Include calibrated gate error rates and readout assignment matrices from {qubit_device}.
• Provide Python code using the {sdk} SDK that implements noise scaling and Richardson extrapolation.
• Summarize expected fidelity gains in a table comparing baseline vs mitigated results.
OUTPUT FORMAT: Markdown with H2 headers (Background | Code | Results).",qubit_device; circuit_name; sdk,Julius Brussee
Quantum Computing & Simulation,"ROLE: Quantum Compiler Optimizer.
OBJECTIVE: Generate an optimized QASM for **{algorithm}** targeting **{target_hardware}** minimizing two-qubit gate depth.
REQUIREMENTS:
• Use ZX-calculus transformations to reduce CNOT count by at least 30 %.
• Annotate each optimization pass with before-after gate counts.
• Provide final circuit diagram in ASCII and OpenQASM code.
OUTPUT FORMAT: Markdown; separate code blocks for QASM and diagrams.",algorithm; target_hardware,Julius Brussee
Quantum Computing & Simulation,"ROLE: Topological Qubit Theorist.
OBJECTIVE: Produce a LaTeX mini-review of anyonic braiding statistics for **{platform}** within **{word_limit}** words.
REQUIREMENTS:
• Explain SU(2)_k fusion rules relevant to {platform}.
• Compare Fibonacci vs Ising anyons in tabular form.
• Cite at least 5 peer-reviewed papers in APS style.
OUTPUT FORMAT: LaTeX article skeleton.",platform; word_limit,Julius Brussee
Quantum Computing & Simulation,"ROLE: Quantum Monte Carlo Analyst.
OBJECTIVE: Design a VMC study of 2-D Hubbard model at **{filling_factor}** using **{ansatz_type}** wavefunction.
REQUIREMENTS:
• Specify lattice size, boundary conditions, and J/t values.
• Provide pseudocode for Metropolis sampling with sign problem mitigation.
• Report expected energy convergence criteria and runtime estimates.
OUTPUT FORMAT: Markdown report with code blocks and math formulae.",filling_factor; ansatz_type,Julius Brussee
Quantum Computing & Simulation,"ROLE: Quantum Machine Learning Engineer.
OBJECTIVE: Outline a hybrid classifier combining QSVC on **{backend_name}** with classical SVM for **{dataset_name}**.
REQUIREMENTS:
• Detail feature map encoding and circuit depth budget (< 60 gates).
• Include training loop in {ml_framework} integrating qiskit-runtime.
• Plot decision boundary and report balanced accuracy.
OUTPUT FORMAT: Jupyter-ready Markdown.",backend_name; dataset_name; ml_framework,Julius Brussee
Quantum Computing & Simulation,"ROLE: NISQ Benchmark Designer.
OBJECTIVE: Create a benchmark suite to evaluate coherence-limited performance of **{hardware_series}** across varying circuit widths.
REQUIREMENTS:
• Select 4 representative algorithms (QFT, Grover, VQE, GHZ) with parameterized depths.
• Provide YAML spec describing each job submission via {api_endpoint}.
• Define KPIs: average EPG, SPAM error, and circuit success rate.
OUTPUT FORMAT: Markdown with YAML code blocks.",hardware_series; api_endpoint,Julius Brussee
Quantum Computing & Simulation,"ROLE: Quantum Error Correction Simulator.
OBJECTIVE: Setup a surface-code simulation for **{code_distance}** distance using **{noise_model}** in Stim.
REQUIREMENTS:
• Show logical error rate vs physical error probability curve (log-log).
• Include Python snippet to generate lattice and match syndrome.
• Discuss thresholds relative to current NV-center qubits.
OUTPUT FORMAT: Markdown plus matplotlib figure placeholder.",code_distance; noise_model,Julius Brussee
Quantum Computing & Simulation,"ROLE: Quantum Finance Strategist.
OBJECTIVE: Propose a quantum amplitude estimation workflow for pricing **{exotic_option}** using **{oracle_type}** oracle.
REQUIREMENTS:
• Derive analytic payoff function and encode in controlled unitary.
• Estimate required number of evals to reach 1 % error with 95 % confidence.
• Provide Qiskit code and classical baseline comparison.
OUTPUT FORMAT: Markdown with equations and code sections.",exotic_option; oracle_type,Julius Brussee
Quantum Computing & Simulation,"ROLE: Quantum Metrology Architect.
OBJECTIVE: Design a Ramsey interference experiment achieving Heisenberg-limited scaling on **{sensor_platform}** for frequency **{target_frequency}**.
REQUIREMENTS:
• Specify pulse sequence and optimal interrogation time.
• Include error sources and their mitigation strategies in table.
• Predict SNR improvement factor over SQL baselines.
OUTPUT FORMAT: Markdown report with schematic SVG reference.",sensor_platform; target_frequency,Julius Brussee
Quantum Computing & Simulation,"ROLE: Quantum Networking Protocol Engineer.
OBJECTIVE: Draft an entanglement swapping protocol spec for nodes **{node_count}** over **{fiber_length}** km with {bell_measurement} measurements.
REQUIREMENTS:
• Describe timing synchronization requirements to sub-nanosecond accuracy.
• Provide NS-3 simulation configuration snippet.
• List security vulnerabilities and mitigation controls.
OUTPUT FORMAT: RFC-style Markdown.",node_count; fiber_length; bell_measurement,Julius Brussee
Geospatial Analysis & Remote Sensing,"ROLE: SAR Interferometry Specialist.
OBJECTIVE: Generate a processing workflow to derive ground deformation map from **{sentinel_pair}** SLC images over **{aoi_bbox}**.
REQUIREMENTS:
• Include steps: co-registration, phase unwrapping, atmospheric correction using {gnss_tropo_data}.
• Provide bash commands using ISCE2 and snaphu.
• Output cumulative displacement GeoTIFF and QC plots.
OUTPUT FORMAT: Markdown with code blocks and command snippets.",sentinel_pair; aoi_bbox; gnss_tropo_data,Julius Brussee
Geospatial Analysis & Remote Sensing,"ROLE: Hyperspectral Mineralogist.
OBJECTIVE: Classify lithology in **{hypercube_file}** using spectral angle mapper with **{reference_library}** signatures.
REQUIREMENTS:
• Perform atmospheric correction (FLAASH) and noise subspace elimination.
• Output mineral abundance maps with color legend.
• Provide Python code using the spectral library path.
OUTPUT FORMAT: Jupyter Markdown with H3 headers.",hypercube_file; reference_library,Julius Brussee
Geospatial Analysis & Remote Sensing,"ROLE: LiDAR Forestry Analyst.
OBJECTIVE: Estimate above-ground biomass for **{forest_region_name}** from **{lidar_pointcloud}** data.
REQUIREMENTS:
• Compute canopy height model at 1 m resolution.
• Apply allometric equations from {species_eq_dataset}.
• Report total biomass in Mg and uncertainty ± 10 %.
OUTPUT FORMAT: Markdown plus JSON summary block.",forest_region_name; lidar_pointcloud; species_eq_dataset,Julius Brussee
Geospatial Analysis & Remote Sensing,"ROLE: Urban Heat Mapping Engineer.
OBJECTIVE: Produce a high-resolution UHI map for **{city_name}** using **{landsat_collection}** thermal bands.
REQUIREMENTS:
• Perform radiometric calibration and emissivity correction.
• Validate surface temperature with {met_station_csv} readings.
• Highlight hotspots exceeding 2 °C over baseline.
OUTPUT FORMAT: ArcGIS-ready GeoPackage and Markdown report.",city_name; landsat_collection; met_station_csv,Julius Brussee
Geospatial Analysis & Remote Sensing,"ROLE: Marine GIS Consultant.
OBJECTIVE: Model oil spill drift trajectory from **{spill_latlon}** on **{start_date}** for {simulation_hours} h using HYCOM data.
REQUIREMENTS:
• Incorporate wind forcing from {noaa_grib} and Stokes drift.
• Provide Python code using Parcels library.
• Output shapefile of centroid path and probability envelope.
OUTPUT FORMAT: Markdown with map snapshot placeholders.",spill_latlon; start_date; simulation_hours; noaa_grib,Julius Brussee
Geospatial Analysis & Remote Sensing,"ROLE: Climate Downscaling Expert.
OBJECTIVE: Downscale CMIP6 temperature projections for **{rcp_scenario}** to 1 km resolution over **{country_iso}**.
REQUIREMENTS:
• Use bias-correction spatial disaggregation (BCSD) against ERA5 baseline.
• Provide shell script orchestrating CDO operations.
• Visualize monthly anomalies 2040-2060.
OUTPUT FORMAT: Markdown plus NetCDF metadata block.",rcp_scenario; country_iso,Julius Brussee
Geospatial Analysis & Remote Sensing,"ROLE: GNSS Reflectometry Researcher.
OBJECTIVE: Derive soil moisture estimates at **{site_code}** using SNR data from **{gnss_receiver_id}**.
REQUIREMENTS:
• Compute reflected signal peak frequency and convert to dielectric constant.
• Correlate results with in-situ {sm_instrument} sensors.
• Include Python matplotlib plots of diurnal variability.
OUTPUT FORMAT: Markdown report with equations.",site_code; gnss_receiver_id; sm_instrument,Julius Brussee
Geospatial Analysis & Remote Sensing,"ROLE: Photogrammetry Pipeline Engineer.
OBJECTIVE: Outline steps to build a 3-D mesh of **{monument_name}** from **{image_folder}** UAV photos.
REQUIREMENTS:
• Specify camera calibration using OpenCV charuco board images.
• Use OpenDroneMap commands for sparse, dense, and texturing stages.
• Export OBJ and 10k-face decimated glTF for web.
OUTPUT FORMAT: Markdown with command snippets and checklist.",monument_name; image_folder,Julius Brussee
Geospatial Analysis & Remote Sensing,"ROLE: Land-Use Change Modeler.
OBJECTIVE: Calibrate a CLUE-S model predicting urban expansion of **{metro_area}** to **{year_target}**.
REQUIREMENTS:
• Derive driving factors from {dem_raster}, roads, and population density layers.
• Include Monte Carlo runs (n=100) to quantify allocation uncertainty.
• Report kappa statistics and ROC curves.
OUTPUT FORMAT: Markdown with section headers and tables.",metro_area; year_target; dem_raster,Julius Brussee
Geospatial Analysis & Remote Sensing,"ROLE: Ocean Color Algorithm Developer.
OBJECTIVE: Implement a remote-sensing reflectance to chlorophyll-a algorithm for **{sensor_name}** data over **{region_bbox}**.
REQUIREMENTS:
• Validate model against {insitu_dataset} cruise measurements.
• Provide Python code using xarray and rioxarray.
• Map chlorophyll anomaly relative to 2003-2020 climatology.
OUTPUT FORMAT: Markdown with code and result figures.",sensor_name; region_bbox; insitu_dataset,Julius Brussee
Biomedical Imaging & Diagnostics,"ROLE: Radiomics Feature Engineer.
OBJECTIVE: Extract IBSI-compliant texture features from **{dicom_series}** tumor ROI mask **{roi_mask}**.
REQUIREMENTS:
• Normalize intensities using z-score within {reference_tissue}.
• Provide Python code leveraging PyRadiomics and SimpleITK.
• Output CSV with first-order, GLCM, and wavelet features.
OUTPUT FORMAT: Markdown with CSV snippet and explanation.",dicom_series; roi_mask; reference_tissue,Julius Brussee
Biomedical Imaging & Diagnostics,"ROLE: Bayesian Segmentation Researcher.
OBJECTIVE: Design a probabilistic U-Net training plan on **{ct_dataset}** for organ **{target_organ}**.
REQUIREMENTS:
• Detail data preprocessing, augmentation, and evidence lower bound loss formulation.
• Specify training hyperparameters for {gpu_model} (memory limit).
• Include calibration assessment using expected calibration error.
OUTPUT FORMAT: Markdown with H2 headers and python code sections.",ct_dataset; target_organ; gpu_model,Julius Brussee
Biomedical Imaging & Diagnostics,"ROLE: Digital Pathology Pipeline Lead.
OBJECTIVE: Create a WSI tiling and classification workflow to detect **{lesion_type}** in **{stain_type}** slides.
REQUIREMENTS:
• Define tile size, overlap, and stain normalization via Macenko method.
• Integrate {cnn_architecture} using TensorFlow-GPU, with inference batch size guidelines.
• Produce heatmap overlay and slide-level ROC metrics.
OUTPUT FORMAT: Markdown report and schematic workflow diagram.",lesion_type; stain_type; cnn_architecture,Julius Brussee
Biomedical Imaging & Diagnostics,"ROLE: Functional MRI Analyst.
OBJECTIVE: Generate a GLM analysis for **{task_paradigm}** using **{fmriprep_output}** preprocessed BOLD data.
REQUIREMENTS:
• Specify design matrix with HRF convolution and motion regressors.
• Include contrasts for primary task vs baseline.
• Provide Nilearn python snippet and thresholded z-maps.
OUTPUT FORMAT: Markdown with code blocks and figure placeholders.",task_paradigm; fmriprep_output,Julius Brussee
Biomedical Imaging & Diagnostics,"ROLE: Photoacoustic Imaging Innovator.
OBJECTIVE: Draft a protocol to quantify oxygen saturation in **{pa_signal_file}** for **{animal_model}**.
REQUIREMENTS:
• Outline multispectral unmixing equations and speed-of-sound correction.
• Provide MATLAB code for fluence compensation.
• Include validation procedure using co-registered pulse-oximeter readings.
OUTPUT FORMAT: Markdown with equations and MATLAB block.",pa_signal_file; animal_model,Julius Brussee
Biomedical Imaging & Diagnostics,"ROLE: Ultrasound Beamformer.
OBJECTIVE: Develop a delay-and-sum beamforming script processing raw RF data **{rf_dataset}** for probe **{probe_model}**.
REQUIREMENTS:
• Calculate dynamic focusing delays in microseconds.
• Implement apodization using Hanning window.
• Display reconstructed B-mode image and measure axial resolution.
OUTPUT FORMAT: Markdown with Python code and image placeholder.",rf_dataset; probe_model,Julius Brussee
Biomedical Imaging & Diagnostics,"ROLE: 3-D Echocardiography Quantifier.
OBJECTIVE: Plan a pipeline to compute LV ejection fraction from **{3d_echo_dicom}** dataset in **{software_framework}**.
REQUIREMENTS:
• Outline steps: preprocessing, active contour segmentation, surface mesh generation.
• Include GPU acceleration tips and memory footprint estimation.
• Provide sanity checks against Simpson-biplane method.
OUTPUT FORMAT: Markdown with numbered steps and tips.",3d_echo_dicom; software_framework,Julius Brussee
Biomedical Imaging & Diagnostics,"ROLE: Optical Coherence Tomography Scientist.
OBJECTIVE: Generate attenuation coefficient maps for **{oct_volume}** corneal scan using depth-compensated algorithm.
REQUIREMENTS:
• Apply logarithmic intensity rescaling and axial registration.
• Provide code snippet in {language_choice} implementing exponential fit.
• Benchmark runtime vs simple slope method.
OUTPUT FORMAT: Markdown with code and result plots.",oct_volume; language_choice,Julius Brussee
Biomedical Imaging & Diagnostics,"ROLE: Diffusion MRI Tractography Expert.
OBJECTIVE: Set up deterministic tracking for **{dwi_series}** with **{bvecs}** using FACT algorithm.
REQUIREMENTS:
• Compute tensor model, FA threshold 0.2, angle limit 45°.
• Visualize arcuate fasciculus using TrackVis compatible format.
• Report streamline count and average length.
OUTPUT FORMAT: Markdown with command examples.",dwi_series; bvecs,Julius Brussee
Biomedical Imaging & Diagnostics,"ROLE: Spectral CT Material Decomposer.
OBJECTIVE: Create dual-energy decomposition for **{spectral_ct_dataset}** into water and iodine basis images.
REQUIREMENTS:
• Use image-based material decomposition equations with beam hardening correction.
• Include {reconstruction_kernel} kernel description.
• Provide quantification of iodine concentration in mg/ml for ROI list.
OUTPUT FORMAT: Markdown with equations and results table.",spectral_ct_dataset; reconstruction_kernel,Julius Brussee
Computational Fluid Dynamics,"ROLE: LES Turbulence Modeler.
OBJECTIVE: Configure a WALE sub-grid LES simulation in **{cfd_solver}** for flow over **{airfoil_name}** at Re={reynolds_number}.
REQUIREMENTS:
• Generate structured mesh with y+ < 1 using {mesher_tool}.
• Provide boundary conditions and time-step size for CFL < 0.5.
• Output Cp distribution and compare with experimental data from NACA database.
OUTPUT FORMAT: Markdown with code snippets and result charts.",cfd_solver; airfoil_name; reynolds_number; mesher_tool,Julius Brussee
Computational Fluid Dynamics,"ROLE: Multiphase CFD Engineer.
OBJECTIVE: Set up a VOF simulation of **{bubble_diameter}** mm air bubble rising in water column using **{openfoam_case}**.
REQUIREMENTS:
• Define phaseProperties and alpha.water fields with initial bubble region.
• Implement PIMPLE algorithm with Courant < 0.3.
• Capture bubble centroid trajectory and terminal velocity.
OUTPUT FORMAT: Markdown with OpenFOAM dict excerpts.",bubble_diameter; openfoam_case,Julius Brussee
Computational Fluid Dynamics,"ROLE: Compressible Solver Developer.
OBJECTIVE: Draft an equation derivation and discretization note for implementing AUSM+-up in **{code_base}**.
REQUIREMENTS:
• Include finite-volume formulation on unstructured meshes.
• Provide pseudocode for flux calculation and eigenvalue evaluation.
• Discuss stability criteria for transonic nozzle flow.
OUTPUT FORMAT: LaTeX technical note.",code_base,Julius Brussee
Computational Fluid Dynamics,"ROLE: Wind Farm CFD Analyst.
OBJECTIVE: Model wake interaction of **{turbine_layout}** using actuator disk in **{fluid_solver}**.
REQUIREMENTS:
• Set inflow turbulence intensity and TI profile based on {liDAR_csv}.
• Run simulation for 10 min physical time with time-averaged outputs.
• Report power deficit and turbulence kinetic energy maps.
OUTPUT FORMAT: Markdown report with figures and tables.",turbine_layout; fluid_solver; liDAR_csv,Julius Brussee
Computational Fluid Dynamics,"ROLE: Thermal Comfort Simulator.
OBJECTIVE: Create CFD simulation predicting PMV for **{room_geometry}** under **{hvac_setting}** conditions.
REQUIREMENTS:
• Couple radiation model with SST k-ω turbulence.
• Include human body heat flux as boundary condition using {met_rate} met.
• Compare predicted PMV with ASHRAE acceptable range.
OUTPUT FORMAT: Markdown with section headers and plots.",room_geometry; hvac_setting; met_rate,Julius Brussee
Computational Fluid Dynamics,"ROLE: Battery Thermal CFD Specialist.
OBJECTIVE: Develop a conjugate heat transfer model of **{battery_pack}** during fast charging at **{charge_rate}** C.
REQUIREMENTS:
• Use anisotropic thermal conductivity for cell jelly-roll.
• Implement joule heating source term and coolant flow channel.
• Report maximum cell temperature and temperature homogeneity index.
OUTPUT FORMAT: Markdown; include simulation setup table.",battery_pack; charge_rate,Julius Brussee
Computational Fluid Dynamics,"ROLE: Aeroacoustics Analyst.
OBJECTIVE: Compute sound pressure level from LES data of **{fan_blade_design}** using FWH acoustic analogy.
REQUIREMENTS:
• Sample pressure on permeable surface grid exported from {post_processing_tool}.
• Post-process frequency spectrum up to 10 kHz.
• Compare predicted tonal peaks against wind-tunnel microphone array.
OUTPUT FORMAT: Markdown with code snippets and results plots.",fan_blade_design; post_processing_tool,Julius Brussee
Computational Fluid Dynamics,"ROLE: Porous Media CFD Expert.
OBJECTIVE: Implement Darcy-Forchheimer source term in **{solver_name}** for flow through **{foam_material}** core.
REQUIREMENTS:
• Calibrate permeability and inertial coefficient from {pressure_drop_csv}.
• Validate velocity profile against ERCOFTAC benchmark.
• Include script for automated mesh sensitivity study.
OUTPUT FORMAT: Markdown with equations and validation plots.",solver_name; foam_material; pressure_drop_csv,Julius Brussee
Computational Fluid Dynamics,"ROLE: CFD Uncertainty Quantification Lead.
OBJECTIVE: Set up a polynomial chaos expansion analysis on lift coefficient of **{wing_config}** varying AoA ± **{aoa_variation}**°.
REQUIREMENTS:
• Use non-intrusive spectral projection with 3rd-order Legendre polynomials.
• Generate CFD samples using {workflow_manager}.
• Report Sobol indices and confidence intervals.
OUTPUT FORMAT: Markdown with statistical result tables.",wing_config; aoa_variation; workflow_manager,Julius Brussee
Computational Fluid Dynamics,"ROLE: GPU CFD Accelerator.
OBJECTIVE: Port pressure-Poisson solver of **{openfoam_version}** to CUDA using **{gpu_library}**.
REQUIREMENTS:
• Provide profiling results identifying memory bottlenecks.
• Rewrite matrix-vector multiplication kernel using CSR format.
• Benchmark speedup against CPU on mesh with 10 M cells.
OUTPUT FORMAT: Markdown with code diff and benchmark chart.",openfoam_version; gpu_library,Julius Brussee
Financial Risk Modeling,"ROLE: Credit Risk Quant.
OBJECTIVE: Build a PD model for **{loan_portfolio}** using logistic regression and **{macro_variables_csv}**.
REQUIREMENTS:
• Perform WoE binning and IV calculation for categorical predictors.
• Apply 5-fold cross-validation and report ROC AUC, KS statistic.
• Generate scorecard scaling with PDO 20 and base score 600.
OUTPUT FORMAT: Markdown with tables and Python code blocks.",loan_portfolio; macro_variables_csv,Julius Brussee
Financial Risk Modeling,"ROLE: XVA Analyst.
OBJECTIVE: Calculate CVA for **{irs_portfolio}** trades under **{cs01_curve}** CSA rules.
REQUIREMENTS:
• Run Monte Carlo simulation with 50k paths using Hull-White interest rate model.
• Implement exposure regression using least-squares Monte Carlo.
• Provide sensitivity to CS01 and wrong-way risk discussion.
OUTPUT FORMAT: Markdown report with equations and result tables.",irs_portfolio; cs01_curve,Julius Brussee
Financial Risk Modeling,"ROLE: Market Microstructure Researcher.
OBJECTIVE: Analyze limit order book resiliency for **{ticker_symbol}** around **{event_timestamp}**.
REQUIREMENTS:
• Download depth-10 order book data via {lob_api}.
• Compute bid-ask spread recovery time and order flow imbalance.
• Plot normalized liquidity metrics ± 30 min of event.
OUTPUT FORMAT: Markdown with code snippets and plots.",ticker_symbol; event_timestamp; lob_api,Julius Brussee
Financial Risk Modeling,"ROLE: Portfolio Optimization Advisor.
OBJECTIVE: Construct a risk-parity portfolio of **{asset_list}** using daily returns from **{start_date}** to **{end_date}**.
REQUIREMENTS:
• Estimate covariance matrix with Ledoit-Wolf shrinkage.
• Enforce leverage limit of 150 % and transaction cost of 5 bps.
• Backtest annualized Sharpe ratio vs equal-weight benchmark.
OUTPUT FORMAT: Markdown with tables and Matplotlib code.",asset_list; start_date; end_date,Julius Brussee
Financial Risk Modeling,"ROLE: Climate Risk Modeler.
OBJECTIVE: Quantify physical risk VaR for **{real_estate_portfolio}** given RCP **{rcp_code}** flood projections.
REQUIREMENTS:
• Integrate hazard maps with property geolocations using {gis_shapefile}.
• Apply damage functions to estimate loss distribution.
• Provide 99th percentile VaR for 2030 and 2050 horizons.
OUTPUT FORMAT: Markdown with maps and summary table.",real_estate_portfolio; rcp_code; gis_shapefile,Julius Brussee
Financial Risk Modeling,"ROLE: Basel III Capital Calculator.
OBJECTIVE: Compute standardized approach capital charges for **{trading_book}** market risk exposures.
REQUIREMENTS:
• Map instruments to risk classes and buckets.
• Calculate sensitivities-based method delta and vega charges using {fx_rates_csv}.
• Summarize total capital requirement and explain diversification benefits.
OUTPUT FORMAT: Markdown with formulae and tables.",trading_book; fx_rates_csv,Julius Brussee
Financial Risk Modeling,"ROLE: Structural Credit Model Engineer.
OBJECTIVE: Implement a Merton-KKV multi-period model for **{firm_ticker}** equity and debt structure.
REQUIREMENTS:
• Estimate asset volatility using historical returns from {data_provider}.
• Calibrate default barrier and recovery rate.
• Plot distance-to-default trajectory over 5 years.
OUTPUT FORMAT: Markdown with code blocks and chart.",firm_ticker; data_provider,Julius Brussee
Financial Risk Modeling,"ROLE: Commodity Derivatives Quant.
OBJECTIVE: Price an Asian options strip on **{commodity_symbol}** with seasonality adjustment using **{pricing_grid}** time steps.
REQUIREMENTS:
• Model spot dynamics with Schwartz-Smith two-factor model.
• Implement lattice method and Monte Carlo validation.
• Report Greeks (delta, vega) at valuation date.
OUTPUT FORMAT: Markdown with valuation table.",commodity_symbol; pricing_grid,Julius Brussee
Financial Risk Modeling,"ROLE: Operational Risk Scenario Builder.
OBJECTIVE: Generate stress scenarios for **{business_line}** cyber attack losses using **{loss_distribution_file}**.
REQUIREMENTS:
• Fit severity with Lognormal-GPD hybrid distribution.
• Simulate annual loss distribution via compound Poisson.
• Provide 95 % quantile and narrative description for top scenarios.
OUTPUT FORMAT: Markdown with statistics and narrative section.",business_line; loss_distribution_file,Julius Brussee
Financial Risk Modeling,"ROLE: Liquidity Risk Reporter.
OBJECTIVE: Draft a LCR calculation for **{bank_name}** using daily cash-flow data **{cashflow_csv}**.
REQUIREMENTS:
• Classify inflows/outflows into HQLA categories per Basel guidelines.
• Compute 30-day stressed net cash outflow and LCR ratio.
• Visualize time series of HQLA buffer vs requirement.
OUTPUT FORMAT: Markdown with tables and line chart.",bank_name; cashflow_csv,Julius Brussee
Cybersecurity & Threat Intelligence,"ROLE: Incident Response Playbook Author.
OBJECTIVE: Create a playbook for ransomware **{malware_family}** infiltration in **{environment_type}**.
REQUIREMENTS:
• Map actions to NIST IR phases: Preparation, Identification, Containment, Eradication, Recovery.
• Include command references for {edr_tool} and SOAR automation snippets.
• Specify KPIs and timeframes for each phase.
OUTPUT FORMAT: Markdown with tables and code blocks.",malware_family; environment_type; edr_tool,Julius Brussee
Cybersecurity & Threat Intelligence,"ROLE: Threat Hunting Query Designer.
OBJECTIVE: Draft Sigma rules to detect **{tactic_name}** in Windows Event Logs with IDs **{event_ids}**.
REQUIREMENTS:
• Provide at least 3 variations to reduce FPs in legacy systems.
• Include mapping to ATT&CK technique ID.
• Offer Splunk and Elastic translations.
OUTPUT FORMAT: YAML with accompanying Markdown explanation.",tactic_name; event_ids,Julius Brussee
Cybersecurity & Threat Intelligence,"ROLE: Reverse Engineering Mentor.
OBJECTIVE: Outline a Ghidra project walkthrough to unpack **{packed_binary}** using **{packer_type}**.
REQUIREMENTS:
• Identify anti-debugging tricks and bypass methods.
• Provide step-by-step screenshots placeholders and script snippets.
• Generate IOC list (hashes, strings, C2 domains).
OUTPUT FORMAT: Markdown lab guide.",packed_binary; packer_type,Julius Brussee
Cybersecurity & Threat Intelligence,"ROLE: Cloud Security Architect.
OBJECTIVE: Generate Terraform guardrails for **{cloud_provider}** to enforce encryption-at-rest on **{service_name}**.
REQUIREMENTS:
• Include policy as code OPA/Rego snippet.
• Add remediation actions with automated tagging.
• Document unit tests using Terratest.
OUTPUT FORMAT: Markdown with code fences.",cloud_provider; service_name,Julius Brussee
